Set,Release Date,Set Type,Card Name,Card No.,Mana Cost,Type,Rarity,Price
Iconic Masters,2017-11-17,masters,Claustrophobia,45,{1}{U}{U},Enchantment — Aura,common,0.02
Iconic Masters,2017-11-17,masters,Condescend,46,{X}{U},Instant,uncommon,0.19
Iconic Masters,2017-11-17,masters,Dissolve,51,{1}{U}{U},Instant,common,0.19
Iconic Masters,2017-11-17,masters,Distortion Strike,52,{U},Sorcery,uncommon,0.41
Iconic Masters,2017-11-17,masters,Elusive Spellfist,54,{1}{U},Creature — Human Monk,common,0.07
Iconic Masters,2017-11-17,masters,Frost Lynx,57,{2}{U},Creature — Elemental Cat,common,0.02
Iconic Masters,2017-11-17,masters,Jhessian Thief,61,{2}{U},Creature — Human Rogue,common,0.09
Iconic Masters,2017-11-17,masters,Mana Leak,66,{1}{U},Instant,common,0.18
Iconic Masters,2017-11-17,masters,Mnemonic Wall,67,{4}{U},Creature — Wall,common,0.14
Iconic Masters,2017-11-17,masters,Repeal,70,{X}{U},Instant,common,0.09
Iconic Masters,2017-11-17,masters,Riverwheel Aerialists,71,{5}{U},Creature — Djinn Monk,common,0.04
Iconic Masters,2017-11-17,masters,Thought Scour,76,{U},Instant,common,0.21
Iconic Masters,2017-11-17,masters,Windfall,77,{2}{U},Sorcery,uncommon,3.17
Iconic Masters,2017-11-17,masters,Bogbrew Witch,83,{3}{B},Creature — Human Wizard,uncommon,0.09
Iconic Masters,2017-11-17,masters,Child of Night,85,{1}{B},Creature — Vampire,common,0.12
Iconic Masters,2017-11-17,masters,Doom Blade,87,{1}{B},Instant,uncommon,0.28
Iconic Masters,2017-11-17,masters,Duress,88,{B},Sorcery,common,0.06
Iconic Masters,2017-11-17,masters,Night of Souls' Betrayal,99,{2}{B}{B},Legendary Enchantment,rare,0.28
Iconic Masters,2017-11-17,masters,Phyrexian Rager,102,{2}{B},Creature — Phyrexian Horror,common,0.02
Iconic Masters,2017-11-17,masters,Reave Soul,104,{1}{B},Sorcery,common,0.06
Iconic Masters,2017-11-17,masters,Rotfeaster Maggot,105,{4}{B},Creature — Insect,common,0.03
Iconic Masters,2017-11-17,masters,Thrill-Kill Assassin,111,{1}{B},Creature — Human Assassin,common,0.06
Iconic Masters,2017-11-17,masters,Wight of Precinct Six,114,{1}{B},Creature — Zombie,common,0.11
Iconic Masters,2017-11-17,masters,Wrench Mind,115,{B}{B},Sorcery,common,0.10
Iconic Masters,2017-11-17,masters,Battle-Rattle Shaman,117,{3}{R},Creature — Goblin Shaman,common,0.06
Iconic Masters,2017-11-17,masters,Borderland Marauder,119,{1}{R},Creature — Human Warrior,common,0.02
Iconic Masters,2017-11-17,masters,Dragon Egg,124,{2}{R},Creature — Dragon Egg,common,0.02
Iconic Masters,2017-11-17,masters,Fireball,128,{X}{R},Sorcery,uncommon,0.16
Iconic Masters,2017-11-17,masters,Guttersnipe,131,{2}{R},Creature — Goblin Shaman,uncommon,0.28
Iconic Masters,2017-11-17,masters,Hammerhand,132,{R},Enchantment — Aura,common,0.05
Iconic Masters,2017-11-17,masters,Heat Ray,133,{X}{R},Instant,common,0.04
Iconic Masters,2017-11-17,masters,Kiln Fiend,137,{1}{R},Creature — Elemental Beast,common,0.13
Iconic Masters,2017-11-17,masters,Mark of Mutiny,139,{2}{R},Sorcery,common,0.13
Iconic Masters,2017-11-17,masters,Monastery Swiftspear,140,{R},Creature — Human Monk,uncommon,0.40
Iconic Masters,2017-11-17,masters,Pillar of Flame,141,{R},Sorcery,common,0.04
Iconic Masters,2017-11-17,masters,Rift Bolt,143,{2}{R},Sorcery,uncommon,0.24
Iconic Masters,2017-11-17,masters,Splatter Thug,146,{2}{R},Creature — Human Warrior,common,
Iconic Masters,2017-11-17,masters,Staggershock,147,{2}{R},Instant,uncommon,0.07
Iconic Masters,2017-11-17,masters,Trumpet Blast,151,{2}{R},Instant,common,0.04
Iconic Masters,2017-11-17,masters,Crowned Ceratok,158,{3}{G},Creature — Rhino,common,0.08
Iconic Masters,2017-11-17,masters,Curse of Predation,159,{2}{G},Enchantment — Aura Curse,rare,0.26
Iconic Masters,2017-11-17,masters,Ivy Elemental,170,{X}{G},Creature — Elemental,common,0.06
Iconic Masters,2017-11-17,masters,Lead the Stampede,173,{2}{G},Sorcery,common,0.13
Iconic Masters,2017-11-17,masters,Nature's Claim,177,{G},Instant,common,1.04
Iconic Masters,2017-11-17,masters,Phantom Tiger,181,{2}{G},Creature — Cat Spirit,common,0.07
Iconic Masters,2017-11-17,masters,Search for Tomorrow,185,{2}{G},Sorcery,common,0.35
Iconic Masters,2017-11-17,masters,Wall of Roots,190,{1}{G},Creature — Plant Wall,common,0.18
Iconic Masters,2017-11-17,masters,Chronicler of Heroes,196,{1}{G}{W},Creature — Centaur Wizard,uncommon,0.20
Iconic Masters,2017-11-17,masters,Electrolyze,198,{1}{U}{R},Instant,uncommon,0.17
Iconic Masters,2017-11-17,masters,Lightning Helix,204,{R}{W},Instant,uncommon,0.35
Iconic Masters,2017-11-17,masters,Spiritmonger,209,{3}{B}{G},Creature — Beast,rare,0.24
Iconic Masters,2017-11-17,masters,Darksteel Axe,214,{1},Artifact — Equipment,common,0.06
Iconic Masters,2017-11-17,masters,Guardian Idol,216,{2},Artifact,common,0.24
Iconic Masters,2017-11-17,masters,Manakin,218,{2},Artifact Creature — Construct,common,0.23
Iconic Masters,2017-11-17,masters,Mind Stone,219,{2},Artifact,common,0.26
Iconic Masters,2017-11-17,masters,Mishra's Bauble,221,{0},Artifact,uncommon,1.12
Iconic Masters,2017-11-17,masters,Pristine Talisman,225,{3},Artifact,uncommon,0.24
Iconic Masters,2017-11-17,masters,Runed Servitor,226,{2},Artifact Creature — Construct,common,0.01
Iconic Masters,2017-11-17,masters,Star Compass,229,{2},Artifact,common,0.87
Iconic Masters,2017-11-17,masters,Thran Dynamo,230,{4},Artifact,uncommon,3.27
Iconic Masters,2017-11-17,masters,Azorius Chancery,232,,Land,uncommon,0.14
Iconic Masters,2017-11-17,masters,Boros Garrison,233,,Land,uncommon,0.19
Iconic Masters,2017-11-17,masters,Dimir Aqueduct,234,,Land,uncommon,0.17
Iconic Masters,2017-11-17,masters,Evolving Wilds,235,,Land,common,0.09
Iconic Masters,2017-11-17,masters,Golgari Rot Farm,236,,Land,uncommon,0.27
Iconic Masters,2017-11-17,masters,Gruul Turf,239,,Land,uncommon,0.22
Iconic Masters,2017-11-17,masters,Izzet Boilerworks,241,,Land,uncommon,0.18
Iconic Masters,2017-11-17,masters,Orzhov Basilica,243,,Land,uncommon,0.23
Iconic Masters,2017-11-17,masters,Radiant Fountain,244,,Land,common,0.18
Iconic Masters,2017-11-17,masters,Rakdos Carnarium,245,,Land,uncommon,0.14
Iconic Masters,2017-11-17,masters,Selesnya Sanctuary,247,,Land,uncommon,0.25
Iconic Masters,2017-11-17,masters,Simic Growth Chamber,249,,Land,uncommon,0.23
Explorers of Ixalan,2017-11-24,box,Path to Exile,3,{W},Instant,uncommon,1.99
From the Vault: Transform,2017-11-24,from_the_vault,Delver of Secrets // Insectile Aberration,7,,Creature — Human Wizard // Creature — Human Insect,mythic,
Explorers of Ixalan,2017-11-24,box,Unsummon,13,{U},Instant,common,0.07
Explorers of Ixalan,2017-11-24,box,Child of Night,16,{1}{B},Creature — Vampire,common,0.09
Explorers of Ixalan,2017-11-24,box,Doom Blade,18,{1}{B},Instant,uncommon,0.19
Explorers of Ixalan,2017-11-24,box,Innocent Blood,19,{B},Sorcery,common,0.18
Explorers of Ixalan,2017-11-24,box,Vampire Interloper,22,{1}{B},Creature — Vampire Scout,common,0.03
Explorers of Ixalan,2017-11-24,box,Vampire Nighthawk,23,{1}{B}{B},Creature — Vampire Shaman,uncommon,0.33
Explorers of Ixalan,2017-11-24,box,Rush of Adrenaline,28,{R},Instant,common,0.10
Explorers of Ixalan,2017-11-24,box,Borderland Ranger,31,{2}{G},Creature — Human Scout Ranger,common,0.07
Explorers of Ixalan,2017-11-24,box,Giant Growth,32,{G},Instant,common,0.18
Explorers of Ixalan,2017-11-24,box,Prey Upon,34,{G},Sorcery,common,0.10
Explorers of Ixalan,2017-11-24,box,Rancor,35,{G},Enchantment — Aura,uncommon,1.59
Explorers of Ixalan,2017-11-24,box,Lightning Helix,39,{R}{W},Instant,uncommon,0.42
Explorers of Ixalan,2017-11-24,box,Mortify,40,{1}{W}{B},Instant,uncommon,0.19
Explorers of Ixalan,2017-11-24,box,Prismatic Lens,43,{2},Artifact,uncommon,0.24
Explorers of Ixalan,2017-11-24,box,Crumbling Necropolis,45,,Land,uncommon,0.23
Explorers of Ixalan,2017-11-24,box,Jungle Shrine,46,,Land,uncommon,0.41
Unstable,2017-12-08,funny,Chivalrous Chevalier,5,{4}{W},Artifact Creature — Cyborg Knight,common,0.07
Unstable,2017-12-08,funny,GO TO JAIL,8,{W},Enchantment,common,0.10
Unstable,2017-12-08,funny,Ordinary Pony,17,{2}{W},Host Creature — Horse,common,0.09
Unstable,2017-12-08,funny,Blurry Beeble,27,{U},Artifact Creature — Cyborg Beeble,common,0.06
Unstable,2017-12-08,funny,Crow Storm,31,{2}{U},Sorcery,uncommon,0.20
Unstable,2017-12-08,funny,Kindly Cognician,37,{1}{U},Artifact Creature — Cyborg Artificer,uncommon,0.13
Unstable,2017-12-08,funny,Extremely Slow Zombie,54a,{1}{B},Creature — Zombie,common,0.21
Unstable,2017-12-08,funny,Selfie Preservation,119,{1}{G},Sorcery,common,0.10
Unstable,2017-12-08,funny,Squirrel Dealer,123,{G},Creature — Raccoon Lizard Bird,common,0.23
Unstable,2017-12-08,funny,Handy Dandy Clone Machine,149,{3},Artifact,rare,0.15
Unstable,2017-12-08,funny,Accessories to Murder,167,,Artifact — Contraption,uncommon,0.18
Unstable,2017-12-08,funny,Boomflinger,172,,Artifact — Contraption,common,0.07
Unstable,2017-12-08,funny,Mandatory Friendship Shackles,194,,Artifact — Contraption,common,0.06
Unstable,2017-12-08,funny,Optical Optimizer,197,,Artifact — Contraption,uncommon,0.15
Unstable,2017-12-08,funny,Twiddlestick Charger,210,,Artifact — Contraption,common,0.09
Judge Gift Cards 2018,2018-01-01,promo,Merchant Scroll,1,{1}{U},Sorcery,rare,
Judge Gift Cards 2018,2018-01-01,promo,Commander's Sphere,4,{3},Artifact,rare,
Rivals of Ixalan,2018-01-19,expansion,Baffling End,1,{1}{W},Enchantment,uncommon,0.07
Rivals of Ixalan,2018-01-19,expansion,Exultant Skymarcher,7,{1}{W}{W},Creature — Vampire Soldier,common,0.02
Rivals of Ixalan,2018-01-19,expansion,Majestic Heliopterus,13,{3}{W},Creature — Dinosaur,uncommon,0.31
Rivals of Ixalan,2018-01-19,expansion,Martyr of Dusk,14,{1}{W},Creature — Vampire Soldier,common,0.05
Rivals of Ixalan,2018-01-19,expansion,Moment of Triumph,15,{W},Instant,common,0.02
Rivals of Ixalan,2018-01-19,expansion,Skymarcher Aspirant,21,{W},Creature — Vampire Soldier,uncommon,0.11
Rivals of Ixalan,2018-01-19,expansion,Slaughter the Strong,22,{1}{W}{W},Sorcery,rare,0.30
Rivals of Ixalan Promos,2018-01-19,promo,Slaughter the Strong,22p,{1}{W}{W},Sorcery,rare,0.57
Rivals of Ixalan,2018-01-19,expansion,Squire's Devotion,25,{2}{W},Enchantment — Aura,common,0.05
Rivals of Ixalan,2018-01-19,expansion,Curious Obsession,35,{U},Enchantment — Aura,uncommon,2.64
Rivals of Ixalan,2018-01-19,expansion,Expel from Orazca,37,{1}{U},Instant,uncommon,0.29
Rivals of Ixalan,2018-01-19,expansion,Flood of Recollection,38,{U}{U},Sorcery,uncommon,0.11
Rivals of Ixalan,2018-01-19,expansion,Kitesail Corsair,41,{1}{U},Creature — Human Pirate,common,0.05
Rivals of Ixalan,2018-01-19,expansion,Negate,44,{1}{U},Instant,common,0.10
Rivals of Ixalan,2018-01-19,expansion,Secrets of the Golden City,52,{1}{U}{U},Sorcery,common,0.10
Rivals of Ixalan,2018-01-19,expansion,Spire Winder,57,{3}{U},Creature — Snake,common,0.02
Rivals of Ixalan,2018-01-19,expansion,Dusk Charger,69,{3}{B},Creature — Horse,common,0.03
Rivals of Ixalan,2018-01-19,expansion,Dusk Legion Zealot,70,{1}{B},Creature — Vampire Soldier,common,0.15
Rivals of Ixalan,2018-01-19,expansion,Grasping Scoundrel,74,{B},Creature — Human Pirate,common,0.04
Rivals of Ixalan,2018-01-19,expansion,Moment of Craving,79,{1}{B},Instant,common,0.03
Rivals of Ixalan,2018-01-19,expansion,Pitiless Plunderer,81,{3}{B},Creature — Human Pirate,uncommon,11.15
Rivals of Ixalan,2018-01-19,expansion,Ravenous Chupacabra,82,{2}{B}{B},Creature — Beast Horror,uncommon,0.74
Rivals of Ixalan,2018-01-19,expansion,Fanatical Firebrand,101,{R},Creature — Goblin Pirate,common,0.09
Rivals of Ixalan,2018-01-19,expansion,Goblin Trailblazer,105,{1}{R},Creature — Goblin Pirate,common,0.04
Rivals of Ixalan,2018-01-19,expansion,Pirate's Pillage,109,{3}{R},Sorcery,uncommon,0.30
Rivals of Ixalan,2018-01-19,expansion,Colossal Dreadmaw,125,{4}{G}{G},Creature — Dinosaur,common,0.03
Rivals of Ixalan,2018-01-19,expansion,Jungleborn Pioneer,137,{2}{G},Creature — Merfolk Scout,common,0.05
Rivals of Ixalan,2018-01-19,expansion,Overgrown Armasaur,141,{3}{G}{G},Creature — Dinosaur,common,0.06
Rivals of Ixalan,2018-01-19,expansion,Thrashing Brontodon,148,{1}{G}{G},Creature — Dinosaur,uncommon,0.09
Rivals of Ixalan,2018-01-19,expansion,Orazca Relic,181,{3},Artifact,common,0.09
Rivals of Ixalan,2018-01-19,expansion,Strider Harness,183,{3},Artifact — Equipment,common,0.05
Rivals of Ixalan,2018-01-19,expansion,Traveler's Amulet,184,{1},Artifact,common,0.06
Rivals of Ixalan,2018-01-19,expansion,Evolving Wilds,186,,Land,common,0.11
Rivals of Ixalan Promos,2018-01-19,promo,Evolving Wilds,186,,Land,common,
Rivals of Ixalan,2018-01-19,expansion,Forsaken Sanctuary,187,,Land,uncommon,0.11
Rivals of Ixalan,2018-01-19,expansion,Foul Orchard,188,,Land,uncommon,0.09
Rivals of Ixalan,2018-01-19,expansion,Highland Lake,189,,Land,uncommon,0.11
Rivals of Ixalan,2018-01-19,expansion,Stone Quarry,190,,Land,uncommon,0.07
Rivals of Ixalan,2018-01-19,expansion,Woodland Stream,191,,Land,uncommon,0.10
Rivals of Ixalan,2018-01-19,expansion,Cinder Barrens,205,,Land,common,0.17
Nationals Promos,2018-01-25,promo,Flooded Strand,2018,,Land,rare,
Masters 25,2018-03-16,masters,Angelic Page,4,{1}{W},Creature — Angel Spirit,uncommon,0.12
Masters 25,2018-03-16,masters,Auramancer,6,{2}{W},Creature — Human Wizard,common,0.01
Masters 25,2018-03-16,masters,Cloudshift,7,{W},Instant,common,0.33
Masters 25,2018-03-16,masters,Congregate,8,{3}{W},Instant,uncommon,0.16
Masters 25,2018-03-16,masters,Dauntless Cathar,10,{2}{W},Creature — Human Soldier,common,0.06
Masters 25,2018-03-16,masters,Disenchant,12,{1}{W},Instant,common,0.07
Masters 25,2018-03-16,masters,Fencing Ace,13,{1}{W},Creature — Human Soldier,common,0.04
Masters 25,2018-03-16,masters,Fiend Hunter,14,{1}{W}{W},Creature — Human Cleric,uncommon,0.18
Masters 25,2018-03-16,masters,Gods Willing,16,{W},Instant,common,0.07
Masters 25,2018-03-16,masters,Griffin Protector,17,{3}{W},Creature — Griffin,common,0.06
Masters 25,2018-03-16,masters,Loyal Sentry,22,{W},Creature — Human Soldier,common,0.10
Masters 25,2018-03-16,masters,Noble Templar,25,{5}{W},Creature — Human Cleric Soldier,common,0.05
Masters 25,2018-03-16,masters,Nyx-Fleece Ram,26,{1}{W},Enchantment Creature — Sheep,uncommon,0.29
Masters 25,2018-03-16,masters,Pacifism,28,{1}{W},Enchantment — Aura,common,0.02
Masters 25,2018-03-16,masters,Path of Peace,29,{3}{W},Sorcery,common,0.03
Masters 25,2018-03-16,masters,Savannah Lions,33,{W},Creature — Cat,common,0.09
Masters 25,2018-03-16,masters,Squadron Hawk,34,{1}{W},Creature — Bird,common,0.12
Masters 25,2018-03-16,masters,Swords to Plowshares,35,{W},Instant,uncommon,0.97
Masters 25,2018-03-16,masters,Whitemane Lion,39,{1}{W},Creature — Cat,common,0.09
Masters 25,2018-03-16,masters,Accumulated Knowledge,40,{1}{U},Instant,common,0.14
Masters 25,2018-03-16,masters,Arcane Denial,41,{1}{U},Instant,common,3.54
Masters 25,2018-03-16,masters,Brainstorm,46,{U},Instant,common,1.05
Masters 25,2018-03-16,masters,Choking Tethers,48,{3}{U},Instant,common,0.06
Masters 25,2018-03-16,masters,Counterspell,50,{U}{U},Instant,common,0.99
Masters 25,2018-03-16,masters,Court Hussar,51,{2}{U},Creature — Vedalken Knight,common,0.03
Masters 25,2018-03-16,masters,Exclude,55,{2}{U},Instant,uncommon,0.16
Masters 25,2018-03-16,masters,Fathom Seer,56,{1}{U},Creature — Illusion,common,0.02
Masters 25,2018-03-16,masters,Freed from the Real,58,{2}{U},Enchantment — Aura,uncommon,3.26
Masters 25,2018-03-16,masters,Horseshoe Crab,61,{2}{U},Creature — Crab,common,0.08
Masters 25,2018-03-16,masters,Man-o'-War,64,{2}{U},Creature — Jellyfish,common,0.04
Masters 25,2018-03-16,masters,Merfolk Looter,65,{1}{U},Creature — Merfolk Rogue,uncommon,0.17
Masters 25,2018-03-16,masters,Murder of Crows,66,{3}{U}{U},Creature — Bird,uncommon,0.04
Masters 25,2018-03-16,masters,Totally Lost,74,{4}{U},Instant,common,0.13
Masters 25,2018-03-16,masters,Twisted Image,75,{U},Instant,uncommon,0.21
Masters 25,2018-03-16,masters,Bloodhunter Bat,80,{3}{B},Creature — Bat,common,0.04
Masters 25,2018-03-16,masters,Dark Ritual,82,{B},Instant,common,2.99
Masters 25,2018-03-16,masters,Death's-Head Buzzard,84,{1}{B}{B},Creature — Bird,common,0.03
Masters 25,2018-03-16,masters,Diabolic Edict,85,{1}{B},Instant,common,0.08
Masters 25,2018-03-16,masters,Disfigure,87,{B},Instant,common,0.02
Masters 25,2018-03-16,masters,Dusk Legion Zealot,89,{1}{B},Creature — Vampire Soldier,common,0.17
Masters 25,2018-03-16,masters,Horror of the Broken Lands,93,{4}{B},Creature — Horror,common,0.08
Masters 25,2018-03-16,masters,Mesmeric Fiend,97,{1}{B},Creature — Nightmare Horror,uncommon,0.16
Masters 25,2018-03-16,masters,Murder,98,{1}{B}{B},Instant,common,0.06
Masters 25,2018-03-16,masters,Nezumi Cutthroat,99,{1}{B},Creature — Rat Warrior,common,0.13
Masters 25,2018-03-16,masters,Phyrexian Ghoul,100,{2}{B},Creature — Phyrexian Zombie,common,0.02
Masters 25,2018-03-16,masters,Ravenous Chupacabra,104,{2}{B}{B},Creature — Beast Horror,uncommon,0.56
Masters 25,2018-03-16,masters,Ruthless Ripper,107,{B},Creature — Human Assassin,common,0.08
Masters 25,2018-03-16,masters,Street Wraith,108,{3}{B}{B},Creature — Wraith,uncommon,0.26
Masters 25,2018-03-16,masters,Supernatural Stamina,109,{B},Instant,common,0.05
Masters 25,2018-03-16,masters,Twisted Abomination,111,{5}{B},Creature — Zombie Mutant,common,0.03
Masters 25,2018-03-16,masters,Undead Gladiator,112,{1}{B}{B},Creature — Zombie Barbarian,uncommon,0.22
Masters 25,2018-03-16,masters,Unearth,113,{B},Sorcery,common,0.39
Masters 25,2018-03-16,masters,Vampire Lacerator,114,{B},Creature — Vampire Warrior,common,0.08
Masters 25,2018-03-16,masters,Zulaport Cutthroat,117,{1}{B},Creature — Human Rogue Ally,uncommon,1.11
Masters 25,2018-03-16,masters,Act of Treason,118,{2}{R},Sorcery,common,0.12
Masters 25,2018-03-16,masters,Chandra's Outrage,124,{2}{R}{R},Instant,common,0.04
Masters 25,2018-03-16,masters,Chartooth Cougar,125,{5}{R},Creature — Cat Beast,common,0.06
Masters 25,2018-03-16,masters,Frenzied Goblin,131,{R},Creature — Goblin Berserker,common,0.10
Masters 25,2018-03-16,masters,Goblin War Drums,133,{2}{R},Enchantment,uncommon,0.64
Masters 25,2018-03-16,masters,Hordeling Outburst,134,{1}{R}{R},Sorcery,common,0.22
Masters 25,2018-03-16,masters,Imperial Recruiter,136,{2}{R},Creature — Human Advisor,mythic,5.73
Masters 25,2018-03-16,masters,Jackal Pup,139,{R},Creature — Jackal,common,0.07
Masters 25,2018-03-16,masters,Kindle,140,{1}{R},Instant,common,0.02
Masters 25,2018-03-16,masters,Lightning Bolt,141,{R},Instant,uncommon,0.90
Masters 25,2018-03-16,masters,Mogg Flunkies,143,{1}{R},Creature — Goblin,common,0.03
Masters 25,2018-03-16,masters,Pyre Hound,145,{3}{R},Creature — Elemental Dog,common,0.03
Masters 25,2018-03-16,masters,Pyroclasm,146,{1}{R},Sorcery,uncommon,0.14
Masters 25,2018-03-16,masters,Red Elemental Blast,147,{R},Instant,uncommon,5.40
Masters 25,2018-03-16,masters,Soulbright Flamekin,151,{1}{R},Creature — Elemental Shaman,common,0.11
Masters 25,2018-03-16,masters,Spikeshot Goblin,152,{2}{R},Creature — Goblin Shaman,uncommon,0.16
Masters 25,2018-03-16,masters,Trumpet Blast,154,{2}{R},Instant,common,0.09
Masters 25,2018-03-16,masters,Uncaged Fury,155,{2}{R},Instant,common,0.06
Masters 25,2018-03-16,masters,Zada. Hedron Grinder,156,{3}{R},Legendary Creature — Goblin Ally,uncommon,0.23
Masters 25,2018-03-16,masters,Ainok Survivalist,157,{1}{G},Creature — Dog Shaman,common,0.04
Masters 25,2018-03-16,masters,Ambassador Oak,158,{3}{G},Creature — Treefolk Warrior,common,0.04
Masters 25,2018-03-16,masters,Arbor Elf,160,{G},Creature — Elf Druid,common,0.29
Masters 25,2018-03-16,masters,Colossal Dreadmaw,163,{4}{G}{G},Creature — Dinosaur,common,0.08
Masters 25,2018-03-16,masters,Cultivate,165,{2}{G},Sorcery,common,0.58
Masters 25,2018-03-16,masters,Elvish Aberration,167,{5}{G},Creature — Elf Mutant,common,0.04
Masters 25,2018-03-16,masters,Epic Confrontation,170,{1}{G},Sorcery,common,0.07
Masters 25,2018-03-16,masters,Fierce Empath,171,{2}{G},Creature — Elf,uncommon,0.21
Masters 25,2018-03-16,masters,Giant Growth,172,{G},Instant,common,0.08
Masters 25,2018-03-16,masters,Krosan Tusker,178,{5}{G}{G},Creature — Boar Beast,uncommon,0.09
Masters 25,2018-03-16,masters,Nettle Sentinel,182,{G},Creature — Elf Warrior,common,0.23
Masters 25,2018-03-16,masters,Presence of Gond,184,{2}{G},Enchantment — Aura,common,0.12
Masters 25,2018-03-16,masters,Rancor,186,{G},Enchantment — Aura,uncommon,1.63
Masters 25,2018-03-16,masters,Regrowth,187,{1}{G},Sorcery,uncommon,0.33
Masters 25,2018-03-16,masters,Utopia Sprawl,192,{G},Enchantment — Aura,uncommon,4.88
Masters 25,2018-03-16,masters,Vessel of Nascency,193,{G},Enchantment,common,0.17
Masters 25,2018-03-16,masters,Baloth Null,197,{4}{B}{G},Creature — Zombie Beast,uncommon,0.09
Masters 25,2018-03-16,masters,Blightning,198,{1}{B}{R},Sorcery,uncommon,0.24
Masters 25,2018-03-16,masters,Cloudblazer,201,{3}{W}{U},Creature — Human Scout,uncommon,0.19
Masters 25,2018-03-16,masters,Lorescale Coatl,207,{1}{G}{U},Creature — Snake,uncommon,0.11
Masters 25,2018-03-16,masters,Pillory of the Sleepless,213,{1}{W}{B},Enchantment — Aura,uncommon,0.09
Masters 25,2018-03-16,masters,Quicksilver Dagger,215,{1}{U}{R},Enchantment — Aura,uncommon,0.15
Masters 25,2018-03-16,masters,Shadowmage Infiltrator,217,{1}{U}{B},Creature — Human Wizard,uncommon,0.11
Masters 25,2018-03-16,masters,Nihil Spellbomb,226,{1},Artifact,common,0.55
Masters 25,2018-03-16,masters,Perilous Myr,227,{2},Artifact Creature — Phyrexian Myr,uncommon,0.15
Masters 25,2018-03-16,masters,Prophetic Prism,229,{2},Artifact,common,0.05
Masters 25,2018-03-16,masters,Treasure Keeper,235,{4},Artifact Creature — Construct,uncommon,0.07
Masters 25,2018-03-16,masters,Ash Barrens,236,,Land,uncommon,0.26
Masters 25,2018-03-16,masters,Flooded Grove,239,,Land,rare,1.81
Masters 25,2018-03-16,masters,Haunted Fengraf,240,,Land,common,0.12
Masters 25,2018-03-16,masters,Mishra's Factory,242,,Land,uncommon,0.13
Masters 25,2018-03-16,masters,Quicksand,245,,Land,uncommon,0.11
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Elvish Aberration,4,{5}{G},Creature — Elf Mutant,common,0.07
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Elvish Branchbender,6,{2}{G},Creature — Elf Druid,common,0.05
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Elvish Mystic,7,{G},Creature — Elf Druid,common,0.57
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Fierce Empath,10,{2}{G},Creature — Elf,common,0.19
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Ivy Lane Denizen,12,{3}{G},Creature — Elf Warrior,common,0.16
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Krosan Tusker,14,{5}{G}{G},Creature — Boar Beast,common,0.07
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Kujar Seedsculptor,15,{1}{G},Creature — Elf Druid,common,0.04
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Lead the Stampede,16,{2}{G},Sorcery,common,0.23
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Nature's Way,20,{1}{G},Sorcery,uncommon,0.18
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Tranquil Thicket,29,,Land,common,0.15
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Treetop Village,30,,Land,uncommon,0.24
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Etherium Sculptor,37,{1}{U},Artifact Creature — Vedalken Artificer,common,0.47
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Trinket Mage,41,{2}{U},Creature — Human Wizard,common,0.26
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Whirler Rogue,43,{2}{U}{U},Creature — Human Rogue Artificer,uncommon,0.09
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Galvanic Blast,45,{R},Instant,common,1.02
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Ghirapur Gearcrafter,46,{2}{R},Creature — Human Artificer,common,0.11
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Maverick Thopterist,50,{3}{U}{R},Creature — Human Artificer,uncommon,0.05
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Filigree Familiar,53,{3},Artifact Creature — Fox,uncommon,0.10
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Ichor Wellspring,54,{2},Artifact,common,0.19
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Mycosynth Wellspring,56,{2},Artifact,common,0.15
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Myr Sire,58,{2},Artifact Creature — Phyrexian Myr,common,0.17
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Pyrite Spellbomb,60,{1},Artifact,common,0.22
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Scuttling Doom Engine,61,{6},Artifact Creature — Construct,rare,0.19
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Thopter Assembly,63,{6},Artifact Creature — Thopter,rare,0.41
Duel Decks: Elves vs. Inventors,2018-04-06,duel_deck,Darksteel Citadel,65,,Artifact Land,uncommon,0.61
